dataset,encoder,threshold,precision,recall,f1,n_preds
NCIT-DOID,C,0.0,74.48,83.16,78.58,5232
NCIT-DOID,C,0.05,74.48,83.16,78.58,5232
NCIT-DOID,C,0.1,74.48,83.16,78.58,5232
NCIT-DOID,C,0.15,74.48,83.16,78.58,5232
NCIT-DOID,C,0.2,74.48,83.16,78.58,5232
NCIT-DOID,C,0.25,74.48,83.16,78.58,5232
NCIT-DOID,C,0.3,74.48,83.16,78.58,5232
NCIT-DOID,C,0.35,74.48,83.16,78.58,5232
NCIT-DOID,C,0.4,74.48,83.16,78.58,5232
NCIT-DOID,C,0.45,74.48,83.16,78.58,5232
NCIT-DOID,C,0.5,74.48,83.16,78.58,5232
NCIT-DOID,C,0.55,74.5,83.16,78.59,5231
NCIT-DOID,C,0.6,74.71,83.16,78.71,5216
NCIT-DOID,C,0.65,75.36,83.16,79.07,5171
NCIT-DOID,C,0.7,76.67,83.16,79.78,5083
NCIT-DOID,C,0.75,78.21,83.16,80.61,4983
NCIT-DOID,C,0.8,80.37,83.1,81.71,4845
NCIT-DOID,C,0.85,84.5,82.63,83.56,4582
NCIT-DOID,C,0.9,89.69,80.92,85.08,4228
NCIT-DOID,C,0.95,94.83,70.89,81.13,3503
NCIT-DOID,CC,0.0,74.47,83.12,78.56,5230
NCIT-DOID,CC,0.05,74.47,83.12,78.56,5230
NCIT-DOID,CC,0.1,74.47,83.12,78.56,5230
NCIT-DOID,CC,0.15,74.47,83.12,78.56,5230
NCIT-DOID,CC,0.2,74.47,83.12,78.56,5230
NCIT-DOID,CC,0.25,74.47,83.12,78.56,5230
NCIT-DOID,CC,0.3,74.47,83.12,78.56,5230
NCIT-DOID,CC,0.35,74.47,83.12,78.56,5230
NCIT-DOID,CC,0.4,74.47,83.12,78.56,5230
NCIT-DOID,CC,0.45,74.47,83.12,78.56,5230
NCIT-DOID,CC,0.5,74.47,83.12,78.56,5230
NCIT-DOID,CC,0.55,74.49,83.12,78.57,5229
NCIT-DOID,CC,0.6,74.7,83.12,78.69,5214
NCIT-DOID,CC,0.65,75.34,83.12,79.04,5170
NCIT-DOID,CC,0.7,76.64,83.12,79.75,5082
NCIT-DOID,CC,0.75,78.18,83.12,80.58,4982
NCIT-DOID,CC,0.8,80.35,83.06,81.68,4844
NCIT-DOID,CC,0.85,84.5,82.61,83.54,4581
NCIT-DOID,CC,0.9,89.69,80.9,85.07,4227
NCIT-DOID,CC,0.95,94.83,70.89,81.13,3503
NCIT-DOID,CP,0.0,74.48,83.16,78.58,5232
NCIT-DOID,CP,0.05,74.48,83.16,78.58,5232
NCIT-DOID,CP,0.1,74.48,83.16,78.58,5232
NCIT-DOID,CP,0.15,74.48,83.16,78.58,5232
NCIT-DOID,CP,0.2,74.48,83.16,78.58,5232
NCIT-DOID,CP,0.25,74.48,83.16,78.58,5232
NCIT-DOID,CP,0.3,74.48,83.16,78.58,5232
NCIT-DOID,CP,0.35,74.48,83.16,78.58,5232
NCIT-DOID,CP,0.4,74.48,83.16,78.58,5232
NCIT-DOID,CP,0.45,74.48,83.16,78.58,5232
NCIT-DOID,CP,0.5,74.48,83.16,78.58,5232
NCIT-DOID,CP,0.55,74.5,83.16,78.59,5231
NCIT-DOID,CP,0.6,74.71,83.16,78.71,5216
NCIT-DOID,CP,0.65,75.36,83.16,79.07,5171
NCIT-DOID,CP,0.7,76.67,83.16,79.78,5083
NCIT-DOID,CP,0.75,78.21,83.16,80.61,4983
NCIT-DOID,CP,0.8,80.37,83.1,81.71,4845
NCIT-DOID,CP,0.85,84.5,82.63,83.56,4582
NCIT-DOID,CP,0.9,89.69,80.92,85.08,4228
NCIT-DOID,CP,0.95,94.83,70.89,81.13,3503
OMIM-ORDO,C,0.0,49.73,54.77,52.13,4098
OMIM-ORDO,C,0.05,49.73,54.77,52.13,4098
OMIM-ORDO,C,0.1,49.73,54.77,52.13,4098
OMIM-ORDO,C,0.15,49.73,54.77,52.13,4098
OMIM-ORDO,C,0.2,49.73,54.77,52.13,4098
OMIM-ORDO,C,0.25,49.73,54.77,52.13,4098
OMIM-ORDO,C,0.3,49.73,54.77,52.13,4098
OMIM-ORDO,C,0.35,49.73,54.77,52.13,4098
OMIM-ORDO,C,0.4,49.73,54.77,52.13,4098
OMIM-ORDO,C,0.45,49.73,54.77,52.13,4098
OMIM-ORDO,C,0.5,49.73,54.77,52.13,4098
OMIM-ORDO,C,0.55,49.76,54.77,52.14,4096
OMIM-ORDO,C,0.6,49.89,54.77,52.22,4085
OMIM-ORDO,C,0.65,50.38,54.77,52.49,4045
OMIM-ORDO,C,0.7,51.65,54.77,53.16,3946
OMIM-ORDO,C,0.75,53.59,54.77,54.17,3803
OMIM-ORDO,C,0.8,57.83,54.31,56.01,3495
OMIM-ORDO,C,0.85,66.74,52.35,58.67,2919
OMIM-ORDO,C,0.9,79.35,46.68,58.78,2189
OMIM-ORDO,C,0.95,90.34,31.17,46.35,1284
OMIM-ORDO,CC,0.0,49.6,54.64,51.99,4099
OMIM-ORDO,CC,0.05,49.6,54.64,51.99,4099
OMIM-ORDO,CC,0.1,49.6,54.64,51.99,4099
OMIM-ORDO,CC,0.15,49.6,54.64,51.99,4099
OMIM-ORDO,CC,0.2,49.6,54.64,51.99,4099
OMIM-ORDO,CC,0.25,49.6,54.64,51.99,4099
OMIM-ORDO,CC,0.3,49.6,54.64,51.99,4099
OMIM-ORDO,CC,0.35,49.6,54.64,51.99,4099
OMIM-ORDO,CC,0.4,49.6,54.64,51.99,4099
OMIM-ORDO,CC,0.45,49.6,54.64,51.99,4099
OMIM-ORDO,CC,0.5,49.6,54.64,51.99,4099
OMIM-ORDO,CC,0.55,49.62,54.64,52.01,4097
OMIM-ORDO,CC,0.6,49.76,54.64,52.08,4086
OMIM-ORDO,CC,0.65,50.25,54.64,52.35,4046
OMIM-ORDO,CC,0.7,51.51,54.64,53.03,3947
OMIM-ORDO,CC,0.75,53.44,54.64,54.03,3804
OMIM-ORDO,CC,0.8,57.67,54.18,55.87,3496
OMIM-ORDO,CC,0.85,66.56,52.22,58.52,2919
OMIM-ORDO,CC,0.9,79.3,46.55,58.66,2184
OMIM-ORDO,CC,0.95,90.34,31.15,46.32,1283
OMIM-ORDO,CP,0.0,49.73,54.77,52.13,4098
OMIM-ORDO,CP,0.05,49.73,54.77,52.13,4098
OMIM-ORDO,CP,0.1,49.73,54.77,52.13,4098
OMIM-ORDO,CP,0.15,49.73,54.77,52.13,4098
OMIM-ORDO,CP,0.2,49.73,54.77,52.13,4098
OMIM-ORDO,CP,0.25,49.73,54.77,52.13,4098
OMIM-ORDO,CP,0.3,49.73,54.77,52.13,4098
OMIM-ORDO,CP,0.35,49.73,54.77,52.13,4098
OMIM-ORDO,CP,0.4,49.73,54.77,52.13,4098
OMIM-ORDO,CP,0.45,49.73,54.77,52.13,4098
OMIM-ORDO,CP,0.5,49.73,54.77,52.13,4098
OMIM-ORDO,CP,0.55,49.76,54.77,52.14,4096
OMIM-ORDO,CP,0.6,49.89,54.77,52.22,4085
OMIM-ORDO,CP,0.65,50.38,54.77,52.49,4045
OMIM-ORDO,CP,0.7,51.65,54.77,53.16,3946
OMIM-ORDO,CP,0.75,53.59,54.77,54.17,3803
OMIM-ORDO,CP,0.8,57.83,54.31,56.01,3495
OMIM-ORDO,CP,0.85,66.74,52.35,58.67,2919
OMIM-ORDO,CP,0.9,79.35,46.68,58.78,2189
OMIM-ORDO,CP,0.95,90.34,31.17,46.35,1284
SNOMED-FMA,C,0.0,13.0,30.55,18.24,17051
SNOMED-FMA,C,0.05,13.0,30.55,18.24,17051
SNOMED-FMA,C,0.1,13.0,30.55,18.24,17051
SNOMED-FMA,C,0.15,13.0,30.55,18.24,17051
SNOMED-FMA,C,0.2,13.0,30.55,18.24,17051
SNOMED-FMA,C,0.25,13.0,30.55,18.24,17051
SNOMED-FMA,C,0.3,13.0,30.55,18.24,17051
SNOMED-FMA,C,0.35,13.0,30.55,18.24,17051
SNOMED-FMA,C,0.4,13.0,30.55,18.24,17051
SNOMED-FMA,C,0.45,13.0,30.55,18.24,17050
SNOMED-FMA,C,0.5,13.01,30.55,18.24,17047
SNOMED-FMA,C,0.55,13.01,30.55,18.25,17039
SNOMED-FMA,C,0.6,13.03,30.55,18.27,17019
SNOMED-FMA,C,0.65,13.07,30.55,18.31,16964
SNOMED-FMA,C,0.7,13.18,30.55,18.41,16825
SNOMED-FMA,C,0.75,13.68,30.55,18.9,16205
SNOMED-FMA,C,0.8,15.73,30.13,20.67,13894
SNOMED-FMA,C,0.85,21.21,24.99,22.94,8548
SNOMED-FMA,C,0.9,29.11,8.81,13.52,2195
SNOMED-FMA,C,0.95,68.18,0.41,0.82,44
SNOMED-FMA,CC,0.0,12.98,30.51,18.22,17051
SNOMED-FMA,CC,0.05,12.98,30.51,18.22,17051
SNOMED-FMA,CC,0.1,12.98,30.51,18.22,17051
SNOMED-FMA,CC,0.15,12.98,30.51,18.22,17051
SNOMED-FMA,CC,0.2,12.98,30.51,18.22,17051
SNOMED-FMA,CC,0.25,12.98,30.51,18.22,17051
SNOMED-FMA,CC,0.3,12.98,30.51,18.22,17051
SNOMED-FMA,CC,0.35,12.98,30.51,18.22,17051
SNOMED-FMA,CC,0.4,12.98,30.51,18.22,17051
SNOMED-FMA,CC,0.45,12.99,30.51,18.22,17050
SNOMED-FMA,CC,0.5,12.99,30.51,18.22,17047
SNOMED-FMA,CC,0.55,12.99,30.51,18.23,17039
SNOMED-FMA,CC,0.6,13.01,30.51,18.24,17019
SNOMED-FMA,CC,0.65,13.05,30.51,18.28,16964
SNOMED-FMA,CC,0.7,13.16,30.51,18.39,16824
SNOMED-FMA,CC,0.75,13.66,30.51,18.87,16205
SNOMED-FMA,CC,0.8,15.71,30.09,20.64,13894
SNOMED-FMA,CC,0.85,21.18,24.94,22.91,8545
SNOMED-FMA,CC,0.9,29.08,8.79,13.5,2194
SNOMED-FMA,CC,0.95,68.18,0.41,0.82,44
SNOMED-FMA,CP,0.0,13.0,30.55,18.24,17051
SNOMED-FMA,CP,0.05,13.0,30.55,18.24,17051
SNOMED-FMA,CP,0.1,13.0,30.55,18.24,17051
SNOMED-FMA,CP,0.15,13.0,30.55,18.24,17051
SNOMED-FMA,CP,0.2,13.0,30.55,18.24,17051
SNOMED-FMA,CP,0.25,13.0,30.55,18.24,17051
SNOMED-FMA,CP,0.3,13.0,30.55,18.24,17051
SNOMED-FMA,CP,0.35,13.0,30.55,18.24,17051
SNOMED-FMA,CP,0.4,13.0,30.55,18.24,17051
SNOMED-FMA,CP,0.45,13.0,30.55,18.24,17050
SNOMED-FMA,CP,0.5,13.01,30.55,18.24,17047
SNOMED-FMA,CP,0.55,13.01,30.55,18.25,17039
SNOMED-FMA,CP,0.6,13.03,30.55,18.27,17019
SNOMED-FMA,CP,0.65,13.07,30.55,18.31,16964
SNOMED-FMA,CP,0.7,13.18,30.55,18.41,16825
SNOMED-FMA,CP,0.75,13.68,30.55,18.9,16205
SNOMED-FMA,CP,0.8,15.73,30.13,20.67,13894
SNOMED-FMA,CP,0.85,21.21,24.99,22.94,8548
SNOMED-FMA,CP,0.9,29.11,8.81,13.52,2195
SNOMED-FMA,CP,0.95,68.18,0.41,0.82,44
SNOMED-NCIT (N),C,0.0,33.61,53.84,41.39,6093
SNOMED-NCIT (N),C,0.05,33.61,53.84,41.39,6093
SNOMED-NCIT (N),C,0.1,33.61,53.84,41.39,6093
SNOMED-NCIT (N),C,0.15,33.61,53.84,41.39,6093
SNOMED-NCIT (N),C,0.2,33.61,53.84,41.39,6093
SNOMED-NCIT (N),C,0.25,33.61,53.84,41.39,6093
SNOMED-NCIT (N),C,0.3,33.61,53.84,41.39,6093
SNOMED-NCIT (N),C,0.35,33.61,53.84,41.39,6093
SNOMED-NCIT (N),C,0.4,33.61,53.84,41.39,6093
SNOMED-NCIT (N),C,0.45,33.61,53.84,41.39,6093
SNOMED-NCIT (N),C,0.5,33.62,53.84,41.39,6092
SNOMED-NCIT (N),C,0.55,33.65,53.84,41.41,6087
SNOMED-NCIT (N),C,0.6,33.74,53.84,41.48,6070
SNOMED-NCIT (N),C,0.65,33.96,53.84,41.65,6030
SNOMED-NCIT (N),C,0.7,34.48,53.84,42.04,5939
SNOMED-NCIT (N),C,0.75,35.96,53.81,43.11,5692
SNOMED-NCIT (N),C,0.8,39.03,53.81,45.24,5245
SNOMED-NCIT (N),C,0.85,45.99,53.08,49.28,4390
SNOMED-NCIT (N),C,0.9,64.21,46.32,53.82,2744
SNOMED-NCIT (N),C,0.95,78.88,12.57,21.68,606
SNOMED-NCIT (N),CC,0.0,33.59,53.81,41.36,6094
SNOMED-NCIT (N),CC,0.05,33.59,53.81,41.36,6094
SNOMED-NCIT (N),CC,0.1,33.59,53.81,41.36,6094
SNOMED-NCIT (N),CC,0.15,33.59,53.81,41.36,6094
SNOMED-NCIT (N),CC,0.2,33.59,53.81,41.36,6094
SNOMED-NCIT (N),CC,0.25,33.59,53.81,41.36,6094
SNOMED-NCIT (N),CC,0.3,33.59,53.81,41.36,6094
SNOMED-NCIT (N),CC,0.35,33.59,53.81,41.36,6094
SNOMED-NCIT (N),CC,0.4,33.59,53.81,41.36,6094
SNOMED-NCIT (N),CC,0.45,33.59,53.81,41.36,6094
SNOMED-NCIT (N),CC,0.5,33.6,53.81,41.37,6093
SNOMED-NCIT (N),CC,0.55,33.62,53.81,41.39,6088
SNOMED-NCIT (N),CC,0.6,33.72,53.81,41.46,6071
SNOMED-NCIT (N),CC,0.65,33.94,53.81,41.63,6031
SNOMED-NCIT (N),CC,0.7,34.46,53.81,42.01,5941
SNOMED-NCIT (N),CC,0.75,35.93,53.79,43.08,5694
SNOMED-NCIT (N),CC,0.8,39.02,53.79,45.23,5243
SNOMED-NCIT (N),CC,0.85,45.98,53.05,49.26,4389
SNOMED-NCIT (N),CC,0.9,64.21,46.32,53.82,2744
SNOMED-NCIT (N),CC,0.95,78.88,12.57,21.68,606
SNOMED-NCIT (N),CP,0.0,33.61,53.84,41.39,6093
SNOMED-NCIT (N),CP,0.05,33.61,53.84,41.39,6093
SNOMED-NCIT (N),CP,0.1,33.61,53.84,41.39,6093
SNOMED-NCIT (N),CP,0.15,33.61,53.84,41.39,6093
SNOMED-NCIT (N),CP,0.2,33.61,53.84,41.39,6093
SNOMED-NCIT (N),CP,0.25,33.61,53.84,41.39,6093
SNOMED-NCIT (N),CP,0.3,33.61,53.84,41.39,6093
SNOMED-NCIT (N),CP,0.35,33.61,53.84,41.39,6093
SNOMED-NCIT (N),CP,0.4,33.61,53.84,41.39,6093
SNOMED-NCIT (N),CP,0.45,33.61,53.84,41.39,6093
SNOMED-NCIT (N),CP,0.5,33.62,53.84,41.39,6092
SNOMED-NCIT (N),CP,0.55,33.65,53.84,41.41,6087
SNOMED-NCIT (N),CP,0.6,33.74,53.84,41.48,6070
SNOMED-NCIT (N),CP,0.65,33.96,53.84,41.65,6030
SNOMED-NCIT (N),CP,0.7,34.48,53.84,42.04,5939
SNOMED-NCIT (N),CP,0.75,35.96,53.81,43.11,5692
SNOMED-NCIT (N),CP,0.8,39.03,53.81,45.24,5245
SNOMED-NCIT (N),CP,0.85,45.99,53.08,49.28,4390
SNOMED-NCIT (N),CP,0.9,64.21,46.32,53.82,2744
SNOMED-NCIT (N),CP,0.95,78.88,12.57,21.68,606
